C,o,i,n, ,M,a,r,k,e,t, ,C,a,p, ,p,a,r,s,e,d, ,o,n, ,2,0,1,8,-,0,2,-,1,0, ,1,8,:,1,3,:,1,5,.,7,7,0,9,6,7
Coin Market Cap parsed on 2018-02-10 18:13:57.792720
Coin Market Cap parsed on 2018-02-10 18:32:42.324357
Coin Market Cap parsed on 2018-02-10 18:39:52.201160
Coin Market Cap parsed on 2018-02-10 18:40:58.600380
Coin Market Cap parsed on 2018-02-10 18:49:02.048689
Coin Market Cap parsed on 2018-02-10 18:50:41.839822
Coin Market Cap parsed on 2018-02-10 18:51:19.111087
Coin Market Cap parsed on 2018-02-10 18:54:35.031420
Coin Market Cap parsed on 2018-02-10 18:55:29.031667
Coin Market Cap parsed on 2018-02-13 18:59:03.821956
Coin Market Cap parsed on 2018-02-13 19:11:09.886345
